Age_ka,d18O,d13C,MgCa
505.6,3.94,-0.38,
506.0,3.67,-0.13,0.929
506.3,4.07,-0.28,1.007
506.7,4.35,-0.27,1.034
507.0,3.98,-0.37,1.027
507.4,4.32,-0.50,1.000
507.7,3.98,-0.41,1.059
509.2,4.26,-0.34,
509.9,4.36,-0.14,1.086
510.6,4.26,-0.22,1.120
510.9,4.23,-0.16,1.113
511.3,4.29,-0.33,0.965
512.0,4.35,-0.20,1.056
513.1,4.30,-0.45,1.055
514.2,4.26,-0.40,1.063
515.3,4.29,-0.45,1.083
515.8,4.23,-0.06,1.168
516.4,3.99,-0.25,1.071
517.5,4.14,-0.24,1.040
518.6,4.19,-0.43,1.126
520.8,4.05,-0.39,1.063
521.3,3.82,-0.33,1.192
521.9,4.04,-0.27,1.184
524.1,4.16,-0.51,
526.0,4.17,-0.47,1.141
526.8,4.12,-0.54,1.069
527.9,4.24,-0.61,1.030
529.0,4.25,-0.48,1.022
529.6,4.19,-0.51,1.204
530.1,4.28,-0.76,0.984
531.2,4.27,-0.88,1.121
532.3,4.27,-0.87,1.048
533.4,4.36,-0.90,0.948
534.5,4.51,-0.93,1.017
535.1,4.47,-0.75,1.011
535.6,4.61,-0.98,0.967
536.7,4.60,-0.90,0.936
537.8,4.66,-0.99,1.043
538.9,4.41,-1.34,0.894
540.0,4.82,-1.00,1.110
540.5,4.59,-0.68,1.040
541.1,4.62,-1.05,0.899
542.2,4.70,-0.91,0.910
543.2,4.70,-0.90,0.984
544.3,4.57,-1.07,0.951
545.4,4.68,-1.08,0.956
545.9,4.42,-0.91,0.841
546.5,4.63,-1.06,0.960
547.6,4.65,-1.03,0.920
548.6,4.55,-1.22,0.939
549.7,4.74,-1.02,0.991
550.8,4.59,-1.19,0.985
551.3,4.53,-0.90,0.924
551.9,4.54,-1.05,1.018
553.0,4.59,-1.10,0.969
554.0,4.61,-1.06,1.062
555.1,4.58,-1.09,0.962
556.2,4.43,-1.04,1.010
556.7,4.50,-0.90,0.974
557.3,4.36,-0.98,0.970
558.4,4.38,-0.85,0.949
558.9,4.44,-0.64,0.948
559.4,4.43,-0.91,0.937
560.5,4.25,-0.86,0.980
561.6,4.25,-0.90,1.005
562.7,4.25,-0.82,1.065
563.2,4.35,-0.72,0.982
567.5,3.93,-0.71,0.997
568.6,4.04,-0.79,1.020
569.7,4.05,-0.65,1.013
570.8,3.96,-0.68,1.066
571.9,3.86,-0.55,1.016
572.9,3.84,-0.60,0.919
573.2,3.71,-0.21,
574.0,3.69,-0.46,1.077
575.1,3.83,-0.52,1.032
575.6,3.69,-0.40,
576.2,3.61,-0.60,1.130
577.3,3.58,-0.46,1.078
578.3,3.68,-0.58,1.047
579.4,4.00,-0.87,1.033
580.5,4.00,-0.70,1.155
581.3,3.90,-0.53,1.060
581.6,3.96,-0.81,1.155
582.7,4.39,-0.89,1.052
583.7,4.38,-0.89,0.966
584.0,4.44,-0.74,1.073
584.7,4.34,-0.98,1.180
585.7,4.40,-0.90,1.044
586.4,4.34,-0.82,0.999
586.6,4.31,-0.99,0.983
587.6,4.47,-0.92,0.957
588.5,4.47,-0.88,1.010
588.8,4.28,-0.80,0.967
589.5,4.18,-0.94,1.029
590.4,4.12,-0.88,1.074
591.2,3.82,-0.70,1.235
591.4,4.02,-0.71,1.015
592.4,4.13,-0.71,1.124
593.3,4.17,-0.69,1.112
593.6,4.06,-0.70,1.076
594.3,4.20,-0.73,1.063
595.2,4.18,-0.80,1.092
595.9,3.92,-0.68,1.044
596.2,4.16,-0.69,1.020
597.1,4.27,-0.70,1.122
598.1,4.11,-0.61,1.043
598.3,4.07,-0.60,1.091
599.0,4.08,-0.51,1.140
600.0,4.34,-0.51,1.213
601.2,4.14,-0.53,1.196
601.6,3.99,-0.67,1.190
603.2,4.15,-0.50,1.125
604.9,4.18,-0.61,1.149
605.3,3.74,-0.41,1.031
606.5,4.14,-0.58,1.004
608.1,3.92,-0.73,1.017
608.9,4.01,-0.45,1.131
610.5,3.74,-0.57,1.111
612.2,3.75,-0.57,1.147
612.6,3.69,-0.43,1.107
613.8,3.78,-0.55,1.208
615.4,3.91,-0.65,1.028
616.6,3.70,-0.54,
617.0,3.56,-0.60,
618.6,4.26,-0.69,1.080
620.3,4.25,-0.79,
620.7,4.00,-0.74,1.269
621.9,4.49,-0.88,1.097
623.5,4.56,-0.86,
623.5,4.95,-1.12,1.052
624.7,4.40,-1.07,
625.1,4.96,-1.00,0.932
626.8,4.85,-1.13,0.969
628.4,5.10,-1.18,0.898
628.8,4.62,-1.27,0.913
630.0,5.14,-1.18,0.841
