ID,Age_ka,d18O,MgCa
"339-U1385D-15H-3,83-84",1267.73,3.55,
"339-U1385D-15H-3,84-85",1267.81,3.58,
"339-U1385D-15H-3,85-86",1267.89,3.53,
"339-U1385D-15H-3,86-87",1267.97,3.54,
"339-U1385D-15H-3,87-88",1268.04,3.35,
"339-U1385D-15H-3,88-89",1268.12,3.39,
"339-U1385D-15H-3,8-9",1261.91,3.74,
"339-U1385D-15H-3,89-90",1268.2,3.52,
"339-U1385D-15H-3,90-91",1268.28,3.35,
"339-U1385D-15H-3,90-91",1268.28,,1.384
"339-U1385D-15H-3,9-10",1261.99,3.64,
"339-U1385D-15H-3,91-92",1268.35,3.51,
"339-U1385D-15H-3,92-93",1268.43,3.47,
"339-U1385D-15H-3,93-94",1268.51,3.38,
"339-U1385D-15H-3,95-96",1268.66,3.27,
"339-U1385D-15H-3,96-97",1268.74,3.47,
"339-U1385D-15H-3,97-98",1268.82,3.36,
"339-U1385D-15H-3,99-100",1268.97,3.14,
"339-U1385D-15H-4,0-1",1273.16,3.19,
"339-U1385D-15H-4,100-101",1280.92,,1.301
"339-U1385D-15H-4,10-11",1273.94,3.32,
"339-U1385D-15H-4,10-11",1273.94,,1.102
"339-U1385D-15H-4,101-102",1281,3.15,
"339-U1385D-15H-4,102-103",1281.13,2.97,
"339-U1385D-15H-4,103-104",1281.25,2.92,
"339-U1385D-15H-4,104-105",1281.38,2.84,
"339-U1385D-15H-4,105-106",1281.51,2.96,
"339-U1385D-15H-4,106-107",1281.63,3.11,
"339-U1385D-15H-4,108-109",1281.89,3.14,
"339-U1385D-15H-4,109-110",1282.01,2.91,
"339-U1385D-15H-4,110-111",1282.14,3.17,
"339-U1385D-15H-4,111-112",1282.27,3.04,
"339-U1385D-15H-4,112-113",1282.4,3.15,
"339-U1385D-15H-4,113-114",1282.52,3.08,
"339-U1385D-15H-4,114-115",1282.65,3.24,
"339-U1385D-15H-4,115-116",1282.78,2.88,
"339-U1385D-15H-4,115-116",1282.78,,1.337
"339-U1385D-15H-4,116-117",1282.9,2.99,
"339-U1385D-15H-4,117-118",1283.03,2.87,
"339-U1385D-15H-4,118-119",1283.16,2.96,
"339-U1385D-15H-4,119-120",1283.28,3.21,
